statement,sentiment,language,rating,source
This is the entirety of my cart file github ReactiveCocoaReactiveCocoa  30  I wasnt sure if this should be filed as a Carthage issue or ReactiveCocoa issue so I did both httpsgithubcomReactiveCocoaReactiveCocoaissues2013  The nonverbose output can be found here  httpsgistgithubcommemmonsntst201af8aa111b8b3e9ad7   The relevant part of the build log can be found here httpsgistgithubcommemmonsntstd2b8fb9b3bd2bb4a13fc  The error I see in the build log is  CarthageCheckoutsResultResultResultswift2008 error no such module Box  This is on a new install of xcode 631 6D1002 running on OS 10104 ,0.5,javascript,2,github
sh pod trunk push allowwarnings ReactiveCocoapodspecjson Updating spec repo master Validating podspec   Reac  ReactiveCocoa 300RC1      WARN   The version should be included in the Git tag   The Pod Specification did not pass validation The following validation failed  Warnings The version should be included in the Git tag   On the other hand pod spec lint works just fine  sh pod spec lint allowwarnings ReactiveCocoapodspecjson    ReactiveCocoa 300RC1      WARN   The version should be included in the Git tag  Analyzed 1 podspec  ReactiveCocoapodspecjson passed validation   Im using version 0380,0.5,javascript,2,github
Any feels on a collaborative blog on reactivecocoaiohttpreactivecocoaio  In separate discussions with indragiek and Coneko we each feel we should write more about RAC because we have insights and experiences to share With a couple of exceptions most of us arent prolific writers but maybe collectively we can have a good thing There have been a bunch of people writing about RAC lately how does everyone feel about those Should RAC have an official speaker box  Obviously such a blog can live anywhere I just wanted to see what the feels are about having it on reactivecocoaiohttpreactivecocoaio  Related to ReactiveCocoaReactiveCocoa1162   cc ReactiveCocoareactivecocoa jonsterling,0.5,javascript,2,github
All I have to really explain this bug is the video Pardon the audio but my FaceTime call seemed to sync up perfectly with what was happening httpswwwdropboxcomsaywzqyhwcdp1klyIMG_0104MOVdl0  Prerelease 074  Let me know if theres any other information that I can provide ,0.5,javascript,2,github
Part of what has made adopting RAC enjoyable has been the number of community projects that have sprung up that RACize existing APIs both Apples and community supported  It occurred to me that maintaining a list pseudoofficial list of ReactiveCocoaenabled libraries might be beneficial to newcomers and increase awareness of the RAC ecosystem as a whole  Assuming ReactiveCocoa thinks this is a good idea Id be happy to open a PR  My only question would be what is the most appropriate location  The ReactiveCocoa repo itself possibly in Readmemd  Or something less connected to the core library like ReactiveCocoaReactiveCocoagithubioReactiveCocoaReactiveCocoagithubio  Some libraries I hand in mind for initial inclusion CodaFiAFNetworkingRACExtensionsCodaFiAFNetworkingRACExtensions kastiglioneParseRACExtensionskastiglioneParseRACExtensions jonsterlingReactiveFormletsjonsterlingReactiveFormlets MattCBowmanReactiveCoreBluetoothMattCBowmanReactiveCoreBluetooth full disclosure author is my coworker,0.5,javascript,2,github
Here is my Cartfile   github ThomvisBrightFutures master github ReactiveCocoaReactiveCocoa v30beta4   Cartfileprivate   github quickQuick master github quickNimble master   Cartfileresolved   github robrixBox 122 github ThomvisBrightFutures ab20c2b5a9af958ebaccaf5f0d036441cdfe4f51 github quickNimble 0aafb4fc24d1d4912af6caf0411e96bb43747218 github quickQuick f614fdfd6d88de9b456fb479e5ec495791a69d11 github antitypicalResult 041 github ReactiveCocoaReactiveCocoa 1c8b18751c4af1f3c6003077ff57bed80e184c3a   Anytime I try to update or bootstrap I get     carthage bootstrap platform iOS Username for httpsgithubcom Username for httpsgithubcom Username for httpsgithubcom Username for httpsgithubcom Username for httpsgithubcom Username for httpsgithubcom  ,0.5,javascript,2,github
Version Carthage 073  Given NimblehttpsgithubcomQuickNimbles current tagshttpsgithubcomQuickNimbletags  screen shot 20150516 at 13 52 31httpscloudgithubusercontentcomassets4325367667919d1c6ce98fbd211e496b26d30a699c650png  a Cartfile with   github QuickNimble   will result in version 042 being used while   github QuickNimble  10   Or    will result in version 10 being used  Something is wrong in our version parsing because v100rc1 should either be rejected by the parser or else considered as newer and better than v042,0.5,javascript,2,github
Cocoapodsorg httpscocoapodsorgqReactiveCocoa recommends to use       pod ReactiveCocoa 300alpha1  to install ReactiveCocoa I am new to cocoapods but it seems that this spec httpsgithubcomCocoaPodsSpecsblobmasterSpecsReactiveCocoa300alpha1ReactiveCocoapodspecjson has a link to an outdated fork not to the main repository      httpsgithubcomashfurrowReactiveCocoagit  Update I have just checked ReactiveCocoa releases It seems that httpsgithubcomCocoaPodsSpecsblobmasterSpecsReactiveCocoa300alpha1ReactiveCocoapodspecjson is some temp spec and should be removed to not confuse users,0.5,javascript,2,github
 20140119 194307953 GroceryList944021303 Unexpected JSON for error response null 20140119 194307954 GroceryList944021303  Assertion failure in __54RACSignalOperations setKeyPathonObjectnilValue_block_invoke542 UsersstevemoserCodeiOSExamplesGroceryListExternalOctoKitExternalReactiveCocoaReactiveCocoaFrameworkReactiveCocoaRACSignalOperationsm683 20140119 194307955 GroceryList944021303  Terminating app due to uncaught exception NSInternalInconsistencyException reason Received error from RACDynamicSignal 0x8f90380 name RACObserveGCYUserController 0x8f86fe0 client ignore null map switchToLatest in binding for key path repository on GCYGroceryListViewModel 0x8f860d0 Error DomainOCTClientErrorDomain Code668 There was a problem connecting to the server UserInfo0x9189680 OCTClientErrorHTTPStatusCodeKey0 NSLocalizedDescriptionThere was a problem connecting to the server OCTClientErrorRequestURLKeyhttpsapigithubcomreposstevemosergroceryWIkiper_page100 NSUnderlyingError0x8f9cda0 The Internet connection appears to be offline ,0.5,javascript,2,github
Ive had this on my personal todo list for a while but havent figured out exactly what to do yet Basically epatey made the excellent suggestion that its hard for users of and contributors to RAC to really know where its going without some kind of roadmap document  From my standpoint this also has the unfortunate side effect of bottlenecking on joshaber or I If we could define our vision for the framework in one place and break down the stages to get there it would be easier to parallelizeoutsource pieces of that  A roadmap could include anyall of   1 Extremely fuzzy dates to help answer queries like My project is gonna ship in 3 months Which RAC version should I use  1 Design goalsdirection so implementation effort can proceed even if were not available to give the seal of approval  1 Large pieces of outstanding work like a very highlevel answer to What would it take to ship 30  I dunno just brainstorming Does any of that make sense Anything else to add  cc ReactiveCocoareactivecocoa ,0.5,javascript,2,github
